NAME,CODE,HEIGHT,CANOPY,OVERHANG
0-5 ft,0,0.762,0.2796330623344604,1.758329134947891
5-10ft,2,2.286,0.5548213873645177,0.3323497283347891
10-15 ft,3,3.81,0.5548213873645177,0.3323497283347891
15-20 ft,4,5.334,0.5548213873645177,0.3323497283347891
20-25 ft,5,6.858,0.5548213873645177,0.3323497283347891
25-30 ft,6,8.382,0.5548213873645177,0.3323497283347891
30-40 ft,7,10.668,0.5548213873645177,0.3323497283347891
40-50 ft,8,13.716,0.5548213873645177,0.3323497283347891
50-60 ft,9,16.764,0.5548213873645177,0.3323497283347891
60-80 ft,10,21.336,0.5548213873645177,0.3323497283347891
80 - 100ft,11,27.432,0.5548213873645177,0.3323497283347891
