NAME,CODE,HEIGHT,CANOPY,OVERHANG
channel,-1,0.0,0.1087510991851858,0.8263322263545769
non-tree,-2,0.762,0.5597549883414271,1.5302674544518042
5-10ft,2,2.286,0.5597549883414271,1.5302674544518042
10-15 ft,3,3.81,0.5597549883414271,1.5302674544518042
15-20 ft,4,5.334,0.5597549883414271,1.5302674544518042
20-25 ft,5,6.858,0.5597549883414271,1.5302674544518042
25-30 ft,6,8.382,0.5597549883414271,1.5302674544518042
30-40 ft,7,10.668,0.5597549883414271,1.5302674544518042
40-50 ft,8,13.716,0.5597549883414271,1.5302674544518042
50-60 ft,9,16.764,0.5597549883414271,1.5302674544518042
60-80 ft,10,21.336,0.5597549883414271,1.5302674544518042
80 - 100ft,11,27.432,0.5597549883414271,1.5302674544518042
100+,0,33.0,0.5597549883414271,1.5302674544518042
110+,1,36.0,0.5597549883414271,1.5302674544518042
