STREAM_ID,NODE_ID,STREAM_KM,INFLOW,TEMPERATURE,OUTFLOW
,,19.2,0,11.76746726,
,,19.1,0,11.76746726,
,,19,0,11.76746726,
,,18.9,0,11.76746726,
,,18.8,0,11.76746726,
,,18.7,0,11.76746726,
,,18.6,0,11.76746726,
,,18.5,0,11.76746726,
,,18.4,0,11.76746726,
,,18.3,0,11.76746726,
,,18.2,0.000177389,11.76746726,
,,18.1,8.60E-05,11.76746726,
,,18,0.000201244,11.76746726,
,,17.9,0.000293511,11.76746726,
,,17.8,3.35E-05,11.76746726,
,,17.7,0,11.76746726,
,,17.6,0.000406207,11.76746726,
,,17.5,0.00048141,11.76746726,
,,17.4,0.000662294,11.76746726,
,,17.3,0.000218066,11.76746726,
,,17.2,0.000136217,11.76746726,
,,17.1,0,11.76746726,
,,17,0.000572084,11.76746726,
,,16.9,0.000223238,11.76746726,
,,16.8,0.000176339,11.76746726,
,,16.7,0.000328819,11.76746726,
,,16.6,0.000949017,11.76746726,
,,16.5,0.000140618,11.76746726,
,,16.4,0.005194176,11.76746726,
,,16.3,0.001115181,11.76746726,
,,16.2,2.28E-05,11.76746726,
,,16.1,0.000458895,11.76746726,
,,16,0.000142824,11.76746726,
,,15.9,7.80E-05,11.76746726,
,,15.8,0,11.76746726,
,,15.7,8.96E-05,11.76746726,
,,15.6,0.002912709,11.76746726,
,,15.5,0.000309465,11.76746726,
,,15.4,0.000351903,11.76746726,
,,15.3,0.000259675,11.76746726,
,,15.2,0.000735893,11.76746726,
,,15.1,0.001150715,11.76746726,
,,15,0.000492164,11.76746726,
,,14.9,0.000611484,11.76746726,
,,14.8,0.000549216,11.76746726,
,,14.7,0.000297111,11.76746726,
,,14.6,0.000111304,11.76746726,
,,14.5,0,11.76746726,
,,14.4,0.000120161,11.76746726,
,,14.3,0.00049202,11.76746726,
,,14.2,0.000205621,11.76746726,
,,14.1,0.000340397,11.76746726,
,,14,0.000240813,11.76746726,
,,13.9,0.000637585,11.76746726,
,,13.8,0.000180073,11.76746726,
,,13.7,0,11.76746726,
,,13.6,0.000696956,11.76746726,
,,13.5,0.000138994,11.76746726,
,,13.4,0.00424011,11.76746726,
,,13.3,0.000295515,11.76746726,
,,13.2,0.001527075,11.76746726,
,,13.1,0.001444727,11.76746726,
,,13,0.000434264,11.76746726,
,,12.9,8.78E-05,11.76746726,
,,12.8,0.000137612,11.76746726,
,,12.7,8.17E-05,11.76746726,
,,12.6,0.003841886,11.76746726,
,,12.5,0.000116458,11.76746726,
,,12.4,0.000550873,11.76746726,
,,12.3,0.000111524,11.76746726,
,,12.2,0.000236551,11.76746726,
,,12.1,0.000154606,11.76746726,
,,12,0.000146359,11.76746726,
,,11.9,0.000167768,11.76746726,
,,11.8,0,11.76746726,
,,11.7,0.00053459,11.76746726,
,,11.6,0.000520493,11.76746726,
,,11.5,0.000500857,11.76746726,
,,11.4,0.000373204,11.76746726,
,,11.3,0.000301216,11.76746726,
,,11.2,0.000408062,11.76746726,
,,11.1,0.000761204,11.76746726,
,,11,0.000621988,11.76746726,
,,10.9,0.000175394,11.76746726,
,,10.8,0.009343006,11.76746726,
,,10.7,6.23E-05,11.76746726,
,,10.6,0,11.76746726,
,,10.5,0.000157177,11.76746726,
,,10.4,0.000892408,11.76746726,
,,10.3,0.000754174,11.76746726,
,,10.2,0.000357835,11.76746726,
,,10.1,0,11.76746726,
,,10,0.001287946,11.76746726,
,,9.9,0.000391227,11.76746726,
,,9.8,0.000356884,11.76746726,
,,9.7,0.000238584,11.76746726,
,,9.6,0.000313491,11.76746726,
,,9.5,2.14E-05,11.76746726,
