NAME,CODE,HEIGHT,CANOPY,OVERHANG
channel,-1,0,0,0
non-tree,-2,0.762,0.359176478,0.410677181
5-10ft,2,2.286,0.761742829,0.280669967
10-15 ft,3,3.81,0.761742829,0.280669967
15-20 ft,4,5.334,0.761742829,0.280669967
20-25 ft,5,6.858,0.761742829,0.280669967
25-30 ft,6,8.382,0.761742829,0.280669967
30-40 ft,7,10.668,0.761742829,0.280669967
40-50 ft,8,13.716,0.761742829,0.280669967
50-60 ft,9,16.764,0.761742829,0.280669967
60-80 ft,10,21.336,0.761742829,0.280669967
80 - 100ft,11,27.432,0.761742829,0.280669967
100+,0,33,0.761742829,0.280669967
110+,1,36,0.761742829,0.280669967
