STREAM_ID,NODE_ID,STREAM_KM,INFLOW,TEMPERATURE,OUTFLOW
,,18.5,0.00083603,9.2026167,
,,18.4,0.00083603,9.2026167,
,,18.3,0.000186073,9.2026167,
,,18.2,6.18E-05,9.2026167,
,,18.1,0.000237476,9.2026167,
,,18,0.00028514,9.2026167,
,,17.9,0.002473824,9.2026167,
,,17.8,0,9.2026167,
,,17.7,0.000348538,9.2026167,
,,17.6,0.000552225,9.2026167,
,,17.5,0.000653811,9.2026167,
,,17.4,0.000253142,9.2026167,
,,17.3,0,9.2026167,
,,17.2,0.000134272,9.2026167,
,,17.1,0.000616918,9.2026167,
,,17,0.000199048,9.2026167,
,,16.9,0.000148882,9.2026167,
,,16.8,0.001188012,9.2026167,
,,16.7,0.000139469,9.2026167,
,,16.6,0.000139469,9.2026167,
,,16.5,0.000139469,9.2026167,
,,16.4,0.001552544,9.2026167,
,,16.3,0.001552544,9.2026167,
,,16.2,0.000482466,9.2026167,
,,16.1,0.000157013,9.2026167,
,,16,7.03E-05,9.2026167,
,,15.9,0,9.2026167,
,,15.8,9.42E-05,9.2026167,
,,15.7,0.003062322,9.2026167,
,,15.6,0.00031635,9.2026167,
,,15.5,0.00037899,9.2026167,
,,15.4,0.000273013,9.2026167,
,,15.3,0.000773692,9.2026167,
,,15.2,0.001209822,9.2026167,
,,15.1,0.000517444,9.2026167,
,,15,0.000631455,9.2026167,
,,14.9,0.000588866,9.2026167,
,,14.8,0.000303071,9.2026167,
,,14.7,0.000112126,9.2026167,
,,14.6,0.000112126,9.2026167,
,,14.5,0,9.2026167,
,,14.4,9.32E-05,9.2026167,
,,14.3,0.000590062,9.2026167,
,,14.2,0.000334217,9.2026167,
,,14.1,0.000277074,9.2026167,
,,14,0.000519244,9.2026167,
,,13.9,0.000366933,9.2026167,
,,13.8,0.000366933,9.2026167,
,,13.7,0,9.2026167,
,,13.6,0.000136643,9.2026167,
,,13.5,0.004438301,9.2026167,
,,13.4,0.000240419,9.2026167,
,,13.3,0.001596649,9.2026167,
,,13.2,0.001637272,9.2026167,
,,13.1,0.000440661,9.2026167,
,,13,0.00010492,9.2026167,
,,12.9,0.000120417,9.2026167,
,,12.8,0.000108414,9.2026167,
,,12.7,0.004027395,9.2026167,
