Stream km,Lat,Lon,Datetime,Width,Area,Discharge,Discharge Uncertainty (IVE %),Depth,Velocity,Velocity Uncertainty (IVE %)
17.8,43.656575,-90.783876,6/22/2023 13:08,2.8,0.38,0.058,9.486,0.136,0.153,4.984
17.2,43.65397,-90.77888,6/22/2023 15:03,2.1,0.383,0.042,6.521,0.182,0.109,5.565
15.9,43.64399,-90.78359,6/28/2023 11:45,1.09,0.089,0.001,53.218,0.082,0.009,51.58
14.6,43.6365,-90.76757,6/23/2023 9:28,2.42,0.29,0.032,6.091,0.12,0.109,3.84
13.8,43.629955,-90.770427,7/19/2023 9:05,1.8,0.214,0.03,17.056,0.119,0.139,16.036
11.8,43.62015,-90.779782,6/1/2023 8:44,0.9,0.096,0.015,12.193,0.107,0.152,10.038
10.6,43.610922,-90.781018,6/1/2023 8:10,0.53,0.04,0.002,16.62,0.075,0.056,8.55
10.2,43.6086,-90.77634,6/28/2023 12:47,1.12,0.099,0.008,14.359,0.088,0.083,12.252
8.3,43.5951,-90.78204,6/23/2023 11:39,4.43,0.747,0.274,7.384,0.169,0.367,6.7
7.8,43.59145,-90.77842,6/23/2023 8:35,1.7,0.169,0.035,10.62,0.099,0.207,9.234
2.7,43.563881,-90.762369,5/31/2023 15:28,3.6,0.471,0.047,8.564,0.131,0.099,7.546
2.4,43.561268,-90.762898,8/3/2023 9:05,NA,NA,0.0153,NA,NA,NA,NA
1.4,43.56007,-90.75495,5/31/2023 14:11,3.94,1.208,0.082,6.045,0.307,0.068,4.314
