File Created:,Tue Jul  9 11:46:58 2024
Heat Source Version:,9.0.0b26
Simulation Name:,WFK23
User Text:,Westfork Kickapoo
Output:,Solar Radiation Flux blocked by Land Cover (watts/square meter)
""
Datetime,STREAM_KM,LC_T1_S1,LC_T1_S2,LC_T1_S3,LC_T1_S4,LC_T1_S5,LC_T2_S1,LC_T2_S2,LC_T2_S3,LC_T2_S4,LC_T2_S5,LC_T3_S1,LC_T3_S2,LC_T3_S3,LC_T3_S4,LC_T3_S5,LC_T4_S1,LC_T4_S2,LC_T4_S3,LC_T4_S4,LC_T4_S5,LC_T5_S1,LC_T5_S2,LC_T5_S3,LC_T5_S4,LC_T5_S5,LC_T6_S1,LC_T6_S2,LC_T6_S3,LC_T6_S4,LC_T6_S5,LC_T7_S1,LC_T7_S2,LC_T7_S3,LC_T7_S4,LC_T7_S5,LC_T8_S1,LC_T8_S2,LC_T8_S3,LC_T8_S4,LC_T8_S5,Diffuse_Blocked
45108.9583333,18.500,0.0072,0.0131,0.0161,0.0123,0.0140,2.7630,2.9844,2.9818,3.7198,4.6443,4.3753,12.1436,9.5221,7.3833,0.2649,18.4421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2210,1.5086,0.8085,0.0000,0.0000,0.0000,0.0001,0.0337,0.0299,0.0565,0.0000,0.0000,0.0000,0.0000,0.0000,70.9382
45108.9583333,18.400,0.0115,0.0141,0.0108,0.0123,0.0140,1.7292,2.2896,4.0239,4.3551,5.7918,6.9769,13.3483,2.1640,6.4655,1.6993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.7973,4.4449,2.2485,1.0483,0.0616,0.0019,0.0003,0.0238,0.0327,0.0000,0.0000,0.0000,0.0000,0.0000,50.4691
45108.9583333,18.300,0.0001,0.0112,0.0168,0.0253,0.0380,0.0330,0.0000,2.6707,3.4933,1.6335,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9735,0.4177,0.0000,0.0417,0.0000,0.0000,0.0246,0.0312,0.0001,0.0641,0.0000,0.0000,0.0000,0.0000,0.0000,20.5610
45108.9583333,18.200,0.0304,0.0132,0.0163,0.0224,0.0308,1.5712,6.3409,2.1136,0.7040,0.8997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.7262,0.7452,0.3698,0.1992,0.0734,0.0000,0.0000,0.0000,0.0003,0.1198,0.0000,0.0000,0.0000,0.0000,0.0000,37.0914
45108.9583333,18.100,0.0000,0.0000,0.0369,0.0121,0.0098,0.0000,0.0000,0.0000,0.0000,1.2884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.8897,1.2513,0.5343,0.0000,0.0000,0.0165,0.0517,0.0218,0.0043,0.0180,0.0000,0.0000,0.0000,0.0000,0.0000,24.7273
45108.9583333,18.000,0.0704,0.0224,0.0000,0.0000,0.0204,0.3286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0251,0.0137,0.0040,0.0046,0.0000,0.0000,0.0000,0.0000,0.0000,10.8428
45108.9583333,17.900,0.0999,0.0099,0.0025,0.0003,0.0006,0.1005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0036,0.0012,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,6.9069
45108.9583333,17.800,0.0940,0.0143,0.0014,0.0008,0.0026,4.8096,9.8723,0.0000,0.0000,0.0000,24.3127,0.3665,0.0000,0.0000,0.0000,16.0389,0.0000,0.0000,0.0000,0.0000,21.7095,0.0832,0.0000,0.0000,0.0000,2.8793,2.6615,4.6769,3.9520,3.1724,0.0000,0.0147,0.0181,0.0221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.5914
45108.9583333,17.700,0.0451,0.0183,0.0063,0.0056,0.0380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0058,1.2141,0.0000,0.0000,0.0067,0.0015,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,13.0085
45108.9583333,17.600,0.0999,0.0055,0.0039,0.0005,0.0034,0.1006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,5.6391
