File Created:,Tue Jul 16 15:29:19 2024
Heat Source Version:,9.0.0b26
Simulation Name:,WFK23
User Text:,Westfork Kickapoo
Output:,Solar Radiation Flux blocked by Land Cover (watts/square meter)
""
Datetime,STREAM_KM,LC_T1_S1,LC_T1_S2,LC_T1_S3,LC_T1_S4,LC_T1_S5,LC_T2_S1,LC_T2_S2,LC_T2_S3,LC_T2_S4,LC_T2_S5,LC_T3_S1,LC_T3_S2,LC_T3_S3,LC_T3_S4,LC_T3_S5,LC_T4_S1,LC_T4_S2,LC_T4_S3,LC_T4_S4,LC_T4_S5,LC_T5_S1,LC_T5_S2,LC_T5_S3,LC_T5_S4,LC_T5_S5,LC_T6_S1,LC_T6_S2,LC_T6_S3,LC_T6_S4,LC_T6_S5,LC_T7_S1,LC_T7_S2,LC_T7_S3,LC_T7_S4,LC_T7_S5,LC_T8_S1,LC_T8_S2,LC_T8_S3,LC_T8_S4,LC_T8_S5,Diffuse_Blocked
45108.9583333,23.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.3195,0.8196,2.4552,8.6669,4.7115,22.7033,10.2340,3.8185,0.0000,0.0000,21.0218,0.0000,0.0000,0.0000,0.0000,9.7900,0.0000,0.0000,0.0000,0.0000,6.7977,7.5352,2.6889,0.7129,0.5352,0.0003,0.0006,0.0012,0.0022,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000,54.9628
45108.9583333,23.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.3574,0.7294,4.7031,4.5228,9.7560,19.7184,6.2575,0.0000,2.1762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6954,0.2537,0.0000,0.0000,0.0000,3.2772,3.0298,5.3852,3.4651,1.4622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.9035
45108.9583333,23.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3596,0.3369,1.4523,0.9539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8242,0.0000,0.0000,0.0000,0.0000,0.0151,2.4151,1.0101,3.1235,1.9573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.2588
45108.9583333,23.200,0.0000,0.0000,0.0000,0.0000,0.0000,12.6783,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.4500,0.0000,0.0000,0.0000,0.0000,9.9248,5.5176,1.9746,1.0885,0.9109,0.0002,0.0002,0.0003,0.0006,0.0076,0.0000,0.0000,0.0000,0.0000,0.0000,40.0957
45108.9583333,23.100,0.0000,0.0000,0.0000,0.0000,0.0000,13.0941,2.1922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4799,0.0000,0.0000,0.0000,0.0000,12.6664,3.0283,0.8859,0.5496,0.3765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.1758
45108.9583333,23.000,0.0000,0.0000,0.0000,0.0000,0.0000,13.6729,2.6205,0.9150,0.2543,0.3374,8.1083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4512,0.0000,0.0000,0.0000,0.0000,13.2055,2.3893,0.8039,0.4155,0.2219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.0664
45108.9583333,22.900,0.0000,0.0000,0.0000,0.0000,0.0000,12.0758,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1852,0.0000,0.0000,0.0000,0.0000,13.2791,2.1258,0.7546,0.3876,0.2109,0.0011,0.0012,0.0022,0.0000,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000,24.3985
45108.9583333,22.800,0.0000,0.0000,0.0000,0.0000,0.0000,13.5096,1.3137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1493,0.0000,0.0000,0.0000,0.0000,13.0336,0.9285,0.9020,0.5028,1.4413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.1988
45108.9583333,22.700,0.0000,0.0000,0.0000,0.0000,0.0000,13.7249,2.7657,0.8619,0.3219,0.1638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7098,0.0000,0.0000,0.0000,0.0000,13.3483,2.1193,0.7257,0.3499,0.1777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.2094
45108.9583333,22.600,0.0000,0.0000,0.0000,0.0000,0.0000,13.8939,2.4515,0.7829,0.3631,0.0000,5.7188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4899,0.0000,0.0000,0.0000,0.0000,13.3395,2.0116,0.7313,0.3604,0.1963,0.0033,0.0075,0.0119,0.0224,0.0423,0.0000,0.0000,0.0000,0.0000,0.0000,28.0545
45108.9583333,22.500,0.0028,0.0054,0.0102,0.0192,0.0363,0.0000,0.0000,0.0000,0.1856,0.1139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.3391,1.9870,0.7911,0.4654,0.0000,0.0025,0.0114,0.0148,0.0280,0.0528,0.0000,0.0000,0.0000,0.0000,0.0000,25.3477
