File Created:,Fri Jul 19 10:17:52 2024
Heat Source Version:,9.0.0b26
Simulation Name:,WFK23
User Text:,Westfork Kickapoo
Output:,Solar Radiation Flux blocked by Land Cover (watts/square meter)
""
Datetime,STREAM_KM,LC_T1_S1,LC_T1_S2,LC_T1_S3,LC_T1_S4,LC_T1_S5,LC_T2_S1,LC_T2_S2,LC_T2_S3,LC_T2_S4,LC_T2_S5,LC_T3_S1,LC_T3_S2,LC_T3_S3,LC_T3_S4,LC_T3_S5,LC_T4_S1,LC_T4_S2,LC_T4_S3,LC_T4_S4,LC_T4_S5,LC_T5_S1,LC_T5_S2,LC_T5_S3,LC_T5_S4,LC_T5_S5,LC_T6_S1,LC_T6_S2,LC_T6_S3,LC_T6_S4,LC_T6_S5,LC_T7_S1,LC_T7_S2,LC_T7_S3,LC_T7_S4,LC_T7_S5,LC_T8_S1,LC_T8_S2,LC_T8_S3,LC_T8_S4,LC_T8_S5,Diffuse_Blocked
45108.9583333,23.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1190,0.4549,1.9514,10.7615,3.8484,23.0163,11.0755,4.4693,0.0000,0.0000,23.8244,0.0000,0.0000,0.0000,0.0000,12.9116,0.0000,0.0000,0.0000,0.0000,7.1297,8.5266,3.1508,0.7975,0.6669,0.0001,0.0003,0.0008,0.0021,0.0054,0.0000,0.0000,0.0000,0.0000,0.0000,56.1316
45108.9583333,23.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.1240,0.3894,4.3709,3.9558,11.7642,23.6723,8.1106,0.0000,3.1528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.6091,0.3792,0.0000,0.0000,0.0000,2.4727,3.0597,7.4424,5.2420,2.3199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.0051
45108.9583333,23.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4517,0.2241,1.6332,1.1851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.8277,0.0000,0.0000,0.0000,0.0000,0.0015,1.6494,0.7919,4.3768,3.0933,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.9510
45108.9583333,23.200,0.0000,0.0000,0.0000,0.0000,0.0000,14.6265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.5547,0.0000,0.0000,0.0000,0.0000,10.4611,6.2264,2.1858,1.2003,1.1380,0.0000,0.0000,0.0001,0.0002,0.0086,0.0000,0.0000,0.0000,0.0000,0.0000,42.7362
45108.9583333,23.100,0.0000,0.0000,0.0000,0.0000,0.0000,15.0417,2.6646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.2861,0.0000,0.0000,0.0000,0.0000,15.2662,3.5075,0.9818,0.6215,0.4683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.0149
45108.9583333,23.000,0.0000,0.0000,0.0000,0.0000,0.0000,15.6416,3.0250,1.0651,0.2597,0.4193,8.6791,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.1287,0.0000,0.0000,0.0000,0.0000,15.1131,2.7667,0.9128,0.4793,0.2756,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.9066
45108.9583333,22.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1140
45108.9583333,22.800,0.0000,0.0000,0.0000,0.0000,0.0000,4.1086,13.2316,0.0000,0.0000,0.0000,32.2006,0.5474,0.0000,0.0000,0.0000,21.5840,0.0000,0.0000,0.0000,0.0000,28.8502,0.1246,0.0000,0.0000,0.0000,1.9592,2.4241,5.9715,5.6124,4.9723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.3510
45108.9583333,22.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8404,1.9170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9232
45108.9583333,22.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2015
